"Data generated on Tuesday, December 06, 2016 at 11:20:23 AM EST",,,,,,,,,,,,,,
Area/Partners of Origin,,,,,January - December,,,,,,,,,
And Consumption  Commodities Imported,,,,,Cumulative To Date Values in Thousands of dollars,,,,,,,,,
,,,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
,Partner,,Product,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Partner Code
67,Croatia,1,Coffee & Coffee Pdts,253,226,232,127,194,203,380,302,232,326,HR
68,Singapore,1,Coffee & Coffee Pdts,"2,471","1,001","1,817","1,958",760,414,"2,604","1,330",942,875,SN
69,Sweden,1,Coffee & Coffee Pdts,"37,186","34,656","38,112","36,475","27,281","30,450","34,634","19,857","10,470","7,832",SW
70,"Africa, not elsewhere specified(*)",1,Coffee & Coffee Pdts,6,16,18,0,9,30,161,0,0,0,X4
71,Norway(*),1,Coffee & Coffee Pdts,24,36,34,61,39,36,16,68,2,38,NO
72,New Zealand(*),1,Coffee & Coffee Pdts,0,0,4,18,0,5,5,2,25,223,NZ
73,Russia,1,Coffee & Coffee Pdts,53,7,17,195,39,23,105,51,23,44,RS
74,Zambia,1,Coffee & Coffee Pdts,446,242,821,507,326,153,108,383,68,404,ZA
75,Guinea,1,Coffee & Coffee Pdts,341,376,282,305,48,441,"1,846",217,144,75,GV
76,Madagascar,1,Coffee & Coffee Pdts,0,"1,232","2,500","1,638",85,458,"2,396",732,0,49,MA
77,Zimbabwe,1,Coffee & Coffee Pdts,759,760,293,411,336,414,125,21,0,92,ZI
78,Kosovo,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,64,57,120,KV
79,Macedonia,1,Coffee & Coffee Pdts,9,251,224,350,180,71,97,94,124,96,MK
80,Burma,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,0,0,BM
81,Syria,1,Coffee & Coffee Pdts,0,0,40,0,18,35,78,53,0,68,SY
82,British Pacific Islands(*),1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,5,0,0,Z6
83,Albania,1,Coffee & Coffee Pdts,0,0,0,0,0,0,7,15,23,47,AL
84,Romania,1,Coffee & Coffee Pdts,0,95,23,0,2,77,11,2,15,7,RO
85,United Arab Emirates,1,Coffee & Coffee Pdts,0,0,0,0,111,0,0,0,0,0,AE
86,Cyprus,1,Coffee & Coffee Pdts,46,2,69,8,9,88,45,122,84,58,CY
87,Finland,1,Coffee & Coffee Pdts,8,26,16,17,16,28,27,28,22,20,FI
88,Ukraine,1,Coffee & Coffee Pdts,2,0,69,14,120,141,56,68,56,39,UP
89,Saudi Arabia,1,Coffee & Coffee Pdts,12,0,60,32,33,68,50,137,58,70,SA
90,Argentina,1,Coffee & Coffee Pdts,11,732,269,29,2,13,246,243,31,12,AR
91,"Gambia, The",1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,8,14,0,GA
92,Nepal,1,Coffee & Coffee Pdts,74,48,13,0,63,0,11,3,0,11,NP
93,Lithuania,1,Coffee & Coffee Pdts,18,16,59,0,0,5,0,13,3,6,LH
94,Brunei,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,19,0,BX
95,Estonia,1,Coffee & Coffee Pdts,0,0,0,0,0,0,108,0,0,0,EN
96,Hong Kong,1,Coffee & Coffee Pdts,207,60,20,9,17,27,24,296,793,573,HK
97,Leeward-Windward Islands(*),1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,10,0,0,Y1
98,Sri Lanka,1,Coffee & Coffee Pdts,0,12,2,0,24,0,0,0,0,0,CE
99,Senegal,1,Coffee & Coffee Pdts,3,0,4,0,5,8,4,0,0,6,SG
100,Armenia,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,0,0,AM
101,Trinidad and Tobago,1,Coffee & Coffee Pdts,13,9,16,13,12,6,6,6,3,6,TD
102,Bangladesh,1,Coffee & Coffee Pdts,0,0,0,0,0,0,50,0,0,0,BG
103,Belize,1,Coffee & Coffee Pdts,0,0,0,15,0,0,6,0,0,0,BH
104,Cambodia,1,Coffee & Coffee Pdts,0,0,0,0,0,0,7,7,10,0,CB
105,Cayman Islands,1,Coffee & Coffee Pdts,0,0,0,0,7,0,0,0,0,0,CJ
106,Central African Republic,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,373,0,0,CT
107,Czech Republic,1,Coffee & Coffee Pdts,224,0,54,0,0,0,0,0,0,55,EZ
108,Georgia,1,Coffee & Coffee Pdts,0,0,0,67,46,35,0,0,0,0,GG
109,Ghana,1,Coffee & Coffee Pdts,0,7,0,22,0,8,9,6,12,5,GH
110,Hungary,1,Coffee & Coffee Pdts,0,0,39,0,0,0,0,0,0,0,HU
111,Iceland,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,4,0,22,IC
112,Cote d'Ivoire,1,Coffee & Coffee Pdts,484,971,"5,200","1,298",87,"3,092",134,0,102,0,IV
113,Latvia,1,Coffee & Coffee Pdts,4,6,18,0,5,0,4,0,0,0,LG
114,Liberia,1,Coffee & Coffee Pdts,0,22,0,0,0,0,0,0,0,26,LI
115,Montenegro,1,Coffee & Coffee Pdts,0,0,11,0,13,5,17,0,0,0,MJ
116,Morocco,1,Coffee & Coffee Pdts,3,0,0,0,0,0,0,0,0,0,MO
117,Oman,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,0,363,MU
118,Mozambique,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,98,0,MZ
119,Nigeria,1,Coffee & Coffee Pdts,32,0,359,0,35,92,0,0,0,0,NI
120,Netherlands Antilles(*),1,Coffee & Coffee Pdts,0,0,0,3,0,0,0,0,0,0,NT
121,Paraguay,1,Coffee & Coffee Pdts,0,0,0,0,0,6,0,0,0,0,PA
122,Pakistan,1,Coffee & Coffee Pdts,0,0,0,4,0,0,0,0,0,0,PK
123,Qatar,1,Coffee & Coffee Pdts,0,0,66,0,0,0,0,0,0,0,QA
124,Serbia and Kosovo,1,Coffee & Coffee Pdts,0,0,98,160,0,0,0,0,0,0,RB
125,Slovenia,1,Coffee & Coffee Pdts,22,39,17,14,34,6,9,11,10,4,SI
126,Sierra Leone,1,Coffee & Coffee Pdts,141,0,0,0,0,0,0,0,0,0,SL
127,Togo,1,Coffee & Coffee Pdts,0,35,0,0,108,0,"2,033",0,0,0,TO
128,Burkina Faso,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,118,0,UV
129,Venezuela,1,Coffee & Coffee Pdts,25,298,"3,388","15,269",654,728,9,84,496,0,VE
130,Namibia,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,0,0,70,WA
131,Western Sahara,1,Coffee & Coffee Pdts,0,0,0,0,0,0,0,97,0,0,WI
132,"Serbia, Montenegro, and Kosovo",1,Coffee & Coffee Pdts,211,181,0,0,0,0,0,0,0,0,YU
133,French Pacific Islands(*),1,Coffee & Coffee Pdts,67,0,0,0,0,0,0,0,0,0,Z1
,Grand Total,,,"2,975,663","3,313,105","3,768,282","4,412,186","4,069,757","4,942,849","8,097,161","7,018,913","5,808,989","6,331,721",
Notes:,,,,,,,,,,,,,,
1. Data Source: U.S. Census Bureau Trade Data,,,,,,,,,,,,,,
2. FAS Totals include all Agricultural commodities and FAS selected NONAG commodity items.,,,,,,,,,,,,,,
3. All zeroes for a data item may show that statistics exist in the other import type. Consumption or General.,,,,,,,,,,,,,,
4. (*) denotes a country that is a summarization of its component countries.,,,,,,,,,,,,,,
5. Product Group : FAS,,,,,,,,,,,,,,
